CODIGO_IES,AÑO,SEMESTRE,AUXILIAR,TECNICO,PROFESIONAL,DIRECTIVO,TOTAL
4721,2018,2,27,2,12,11,52
4727,2018,1,75,139,366,23,603
4727,2018,2,75,137,368,23,603
4801,2018,1,7,5,12,9,33
4801,2018,2,7,5,12,9,33
4803,2018,1,2,2,6,2,12
4803,2018,2,2,2,6,2,12
4811,2018,1,4,3,11,1,19
4811,2018,2,4,3,11,2,20
4813,2018,1,411,198,142,33,784
4813,2018,2,411,198,142,33,784
4817,2018,1,11,11,2,9,33
4817,2018,2,9,8,2,9,28
4822,2018,1,44,28,12,23,107
4822,2018,2,53,27,17,11,108
4837,2018,1,16,3,8,17,44
9102,2018,1,90,34,59,15,198
9102,2018,2,90,34,59,15,198
9103,2018,1,19,4,41,8,72
9103,2018,2,19,4,41,8,72
9104,2018,1,37,10,50,1,98
9104,2018,2,37,10,50,4,101
9105,2018,1,203,14,145,5,367
9105,2018,2,203,14,145,5,367
9107,2018,1,10,5,147,21,183
9107,2018,2,10,5,147,21,183
9116,2018,1,33,13,36,6,88
9116,2018,2,29,10,32,16,87
9117,2018,1,3,0,4,4,11
9117,2018,2,4,4,3,2,13
9119,2018,1,57,26,127,61,271
9119,2018,2,66,23,120,67,276
9120,2018,1,5,7,10,13,35
9120,2018,2,5,7,10,13,35
9122,2018,1,47,0,48,4,99
9122,2018,2,50,0,44,5,99
9125,2018,1,1,0,1,0,2
9125,2018,2,1,0,1,0,2
9126,2018,1,1,1,4,4,10
9126,2018,2,0,1,4,3,8
9127,2018,1,7,15,21,12,55
9127,2018,2,7,15,21,12,55
9128,2018,1,12,14,22,8,56
9128,2018,2,12,14,22,8,56
9129,2018,1,11,28,31,10,80
9129,2018,2,11,31,31,10,83
9131,2018,1,4,13,10,21,48
9131,2018,2,7,13,27,17,64
9900,2018,1,4,10,11,3,28
9900,2018,2,8,8,11,3,30
9903,2018,1,25,0,18,12,55
9905,2018,1,11,0,8,8,27
9905,2018,2,13,5,10,8,36
9913,2018,1,53,0,7,42,102
9913,2018,2,5,43,52,5,105
9914,2018,1,2,4,16,6,28
9914,2018,2,1,2,16,6,25
9920,2018,1,0,0,4,1,5
9921,2018,1,2,0,2,4,8
9921,2018,2,2,0,2,4,8
9922,2018,1,1,4,11,5,21
9922,2018,2,1,4,11,5,21
9926,2018,2,20,71,9,5,105
2102,2019,2,1,12,14,1,28
2102,2019,2,1,2,2,2,7
2102,2019,2,0,0,6,2,8
2102,2019,2,0,1,0,1,2
2102,2019,2,0,1,3,1,5
2102,2019,2,1,2,2,1,6
2102,2019,2,0,0,0,1,1
2102,2019,2,0,1,1,1,3
2102,2019,2,0,0,0,1,1
1827,2019,2,36,127,21,21,205
1808,2019,2,0,0,1,1,2
1808,2019,2,0,1,2,0,3
4801,2019,2,0,1,0,1,2
2831,2019,2,10,54,48,5,117
2738,2019,2,21,8,85,9,123
2712,2019,2,79,12,82,4,177
2709,2019,2,12,9,9,1,31
2709,2019,2,4,3,3,1,11
4837,2019,2,15,7,19,3,44
1107,2019,2,43,13,27,2,85
1109,2019,2,25,4,12,1,42
4813,2019,2,11,9,4,1,25
2847,2019,2,81,25,72,34,212
1201,2019,2,15,3,22,7,47
1201,2019,2,33,19,20,13,85
1201,2019,2,90,14,61,16,181
1201,2019,2,12,0,7,7,26
4835,2019,2,8,13,35,4,60
1808,2019,1,2,0,0,1,3
2106,2019,1,9,36,56,18,119
2106,2019,1,24,104,100,71,299
2106,2019,1,36,29,60,16,141
9128,2019,2,2,3,6,4,15
2106,2019,2,0,16,3,1,20
1822,2019,2,0,0,7,7,14
4109,2019,1,13,3,16,8,40
3809,2019,1,2,2,9,3,16
3104,2019,1,14,4,9,6,33
9129,2019,1,0,3,2,0,5
9129,2019,1,1,1,1,1,4
2842,2019,1,0,0,2,0,2
2842,2019,1,0,0,1,0,1
2842,2019,1,1,0,2,0,3
2842,2019,1,3,0,1,0,4
1806,2019,1,0,35,11,1,47
1806,2019,1,0,21,3,1,25
1806,2019,1,0,5,8,0,13
1806,2019,1,0,1,4,1,6
1825,2019,1,97,28,91,5,221
1204,2019,1,481,153,534,99,1267
2812,2019,1,2,206,165,14,387
2848,2019,1,15,34,50,27,126
4709,2019,1,15,21,30,21,87
1719,2019,1,92,169,219,25,505
1830,2019,1,0,15,18,1,34
3715,2019,1,9,29,64,5,107
2850,2019,1,78,0,73,12,163
1833,2019,1,229,6,116,9,360
4813,2019,1,11,9,4,1,25
2301,2019,1,2,0,1,0,3
2301,2019,1,5,0,1,0,6
2301,2019,1,1,0,0,1,2
2301,2019,1,1,0,0,1,2
2301,2019,1,1,0,0,1,2
2728,2019,1,113,102,243,105,563
2744,2019,1,109,31,40,18,198
1723,2019,1,126,62,85,9,282
9127,2019,1,7,11,19,11,48
1730,2019,1,9,20,25,5,59
2743,2019,1,10,0,1,1,12
2743,2019,1,2,1,1,0,4
2743,2019,1,2,0,1,0,3
2743,2019,1,0,0,1,0,1
2723,2019,1,1,0,1,1,3
3801,2019,2,0,0,0,1,1
3801,2019,2,0,0,0,1,1
3801,2019,2,1,0,2,1,4
1830,2019,2,0,6,18,1,25
2841,2019,2,70,48,170,10,298
1717,2019,2,108,6,66,31,211
9103,2019,2,19,4,41,8,72
2832,2019,2,1,0,1,1,3
2832,2019,2,2,0,1,0,3
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2832,2019,2,3,0,4,1,8
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
3807,2019,2,0,1,0,1,2
1204,2019,2,496,154,519,99,1268
1806,2019,2,1,2,0,1,4
1806,2019,2,1,2,3,3,9
1806,2019,2,0,9,3,0,12
1806,2019,2,5,0,1,0,6
1806,2019,2,0,4,1,1,6
1806,2019,2,18,1,1,0,20
2301,2019,2,1,0,3,1,5
2301,2019,2,1,0,0,1,2
2301,2019,2,1,0,0,1,2
2301,2019,2,0,0,1,1,2
2301,2019,2,1,0,2,0,3
3718,2019,2,10,24,28,5,67
2837,2019,2,0,0,3,1,4
2837,2019,2,1,0,2,1,4
2743,2019,1,1,0,0,1,2
1102,2019,1,92,358,81,54,585
1104,2019,1,34,99,35,21,189
9920,2019,1,0,0,4,1,5
2830,2019,1,52,29,383,31,495
2849,2019,1,48,32,44,30,154
1815,2019,1,1,0,0,1,2
1815,2019,1,0,1,0,1,2
1815,2019,1,0,0,0,1,1
1815,2019,1,1,0,1,1,3
1815,2019,1,0,0,0,1,1
1815,2019,1,14,8,6,1,29
